fatal: bad revision 'HEAD'
开始获取 BTC/USDT 数据，从 2023-01-01 到 2024-11-08
已获取 317000 条数据... 当前时间: 2023-08-09 03:19:00.001000
已获取 318000 条数据... 当前时间: 2023-08-09 19:59:00.001000
已获取 319000 条数据... 当前时间: 2023-08-10 12:39:00.001000
已获取 320000 条数据... 当前时间: 2023-08-11 05:19:00.001000
已获取 321000 条数据... 当前时间: 2023-08-11 21:59:00.001000
已获取 322000 条数据... 当前时间: 2023-08-12 14:39:00.001000
已获取 323000 条数据... 当前时间: 2023-08-13 07:19:00.001000
已获取 324000 条数据... 当前时间: 2023-08-13 23:59:00.001000
已获取 325000 条数据... 当前时间: 2023-08-14 16:39:00.001000
已获取 326000 条数据... 当前时间: 2023-08-15 09:19:00.001000
已获取 327000 条数据... 当前时间: 2023-08-16 01:59:00.001000
已获取 328000 条数据... 当前时间: 2023-08-16 18:39:00.001000
已获取 329000 条数据... 当前时间: 2023-08-17 11:19:00.001000
已获取 330000 条数据... 当前时间: 2023-08-18 03:59:00.001000
已获取 331000 条数据... 当前时间: 2023-08-18 20:39:00.001000
已获取 332000 条数据... 当前时间: 2023-08-19 13:19:00.001000
已获取 333000 条数据... 当前时间: 2023-08-20 05:59:00.001000
已获取 334000 条数据... 当前时间: 2023-08-20 22:39:00.001000
已获取 335000 条数据... 当前时间: 2023-08-21 15:19:00.001000
已获取 336000 条数据... 当前时间: 2023-08-22 07:59:00.001000
已获取 337000 条数据... 当前时间: 2023-08-23 00:39:00.001000
已获取 338000 条数据... 当前时间: 2023-08-23 17:19:00.001000
已获取 339000 条数据... 当前时间: 2023-08-24 09:59:00.001000
已获取 340000 条数据... 当前时间: 2023-08-25 02:39:00.001000
已获取 341000 条数据... 当前时间: 2023-08-25 19:19:00.001000
已获取 342000 条数据... 当前时间: 2023-08-26 11:59:00.001000
已获取 343000 条数据... 当前时间: 2023-08-27 04:39:00.001000
已获取 344000 条数据... 当前时间: 2023-08-27 21:19:00.001000
已获取 345000 条数据... 当前时间: 2023-08-28 13:59:00.001000
已获取 346000 条数据... 当前时间: 2023-08-29 06:39:00.001000
已获取 347000 条数据... 当前时间: 2023-08-29 23:19:00.001000
已获取 348000 条数据... 当前时间: 2023-08-30 15:59:00.001000
已获取 349000 条数据... 当前时间: 2023-08-31 08:39:00.001000
已获取 350000 条数据... 当前时间: 2023-09-01 01:19:00.001000
已获取 351000 条数据... 当前时间: 2023-09-01 17:59:00.001000
已获取 352000 条数据... 当前时间: 2023-09-02 10:39:00.001000
